pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
K2-8 c,K2-8,c,1,2,0,Transit,2016,2016-08,Space,K2,0.95 m Kepler Telescope,5.06416000,2.410,6.39000,2.510000,,97.80,801,86.700,13.500000,K3 V,4870.00,0.74,0.78,-0.583,4.52,,2.36326,2.0000,14.3358000
K2-80 b,K2-80,b,1,3,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,19.09180000,2.010,4.70000,3.180000,,32.50,,88.994,29.258083,,5441.00,0.87,0.90,-0.432,4.52,,1.90744,,12.3770000
K2-80 c,K2-80,c,1,3,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,5.60500000,1.470,2.76000,4.770000,,166.00,,87.916,12.500000,,5441.00,0.87,0.90,-0.432,4.52,,1.90744,,12.3770000
K2-80 d,K2-80,d,1,3,0,Transit,2018,2018-03,Space,K2,0.95 m Kepler Telescope,28.86725300,2.552,7.04000,2.330000,,,,89.397,45.619404,,5377.00,0.84,0.91,-0.432,4.65,,1.90744,,12.3770000
K2-81 b,K2-81,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,6.10232500,1.970,4.54000,3.260000,0.060000,62.90,,89.290,19.770000,,4674.13,0.63,0.75,-0.569,4.67,,2.51722,,13.9043000
K2-83 b,K2-83,b,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,2.74697000,1.244,2.08000,5.940000,0.070000,41.50,,88.720,12.590000,,3910.00,0.42,0.48,-1.204,4.86,,4.40180,,13.8042000
K2-83 c,K2-83,c,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,9.99767000,1.483,2.80000,4.720000,0.060000,7.42,,89.510,29.670000,,3910.00,0.42,0.48,-1.204,4.86,,4.40180,,13.8042000
K2-84 b,K2-84,b,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,6.42150000,2.410,6.39000,2.510000,,178.00,,,15.700000,,5652.00,0.93,0.95,-0.423,4.48,,2.29121,,13.1474000
K2-84 c,K2-84,c,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,27.86000000,2.030,4.78000,3.140000,,25.30,,,42.900000,,5652.00,0.93,0.95,-0.423,4.48,,2.29121,,13.1474000
K2-85 b,K2-85,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,0.68453300,1.010,1.01000,5.390000,0.240000,479.00,,80.210,4.300000,,4268.00,0.51,0.57,-0.812,4.78,,2.35191,,12.0600000
K2-86 b,K2-86,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,8.77683000,1.960,4.50000,3.280000,,78.00,,88.560,5.760000,,5482.00,0.76,0.79,-0.386,4.58,,2.16081,,12.7978000
