pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor
3.5852467,13.249,184.97706,0.435,0.139,,1313.0,87.7,9.79
2.79083,16.926,734.1873,0.75,0.29,3515.0,1840.0,82.13,6.37
2.4653,19.504,448.1403,0.332,0.0,,2200.0,88.26,5.82
3.85298,16.589,419.5356,0.558,0.0,,1675.0,85.51,7.73
2.6054552,21.185,167.49641,0.096,0.304,,1930.0,84.2,4.57
2.972086,17.822,248.86089,0.242,0.09,,1896.0,86.2,5.01
4.8101025,23.371,108.0622,0.052,0.0,,1903.0,88.8,5.691
2.29840551,12.016,230.10892,0.727,0.041,184.8,1028.0,88.73,9.6
4.7869491,18.786,1137.8314,1.02,0.0,2467.95,1930.0,87.19,7.32
2.20474,16.926,584.8072,0.712,0.0,4353.41,2733.0,83.11,4.13
2.74432452,20.961,2154.8874,1.54,0.0,5626.34,2562.0,96.5,5.45
3.07634,15.693,406.8224,0.568,0.0,,1700.0,87.8,6.13
3.92281072,15.614,238.05467,0.342,0.084,931.0,1540.0,86.44,8.5
3.446459,14.594,589.55,1.03,0.12,,1359.0,85.6,9.2
3.312846,10.862,167.17858,0.7,0.501,,1407.0,87.79,8.73
3.619188,18.03,263.7989,0.315,0.34,,1596.0,89.03,6.92
3.142702,7.76,759.6137,1.12,0.085,,1446.0,82.27,5.2
3.0440499,13.585,172.58169,0.377,0.181,,1244.0,88.55,9.82
2.7667641,11.646,340.39593,1.191,0.142,,1276.0,88.83,8.8
1.74748753,12.386,689.6911,1.97,0.126,,1505.0,87.13,6.33
2.686502,14.572,1039.3041,1.86,0.0,,1592.0,83.53,6.5
16.254611,8.709,425.25654,3.5,0.029,72.7,814.0,89.08,25.8
0.83784,14.897,629.14449,1.1169,0.166,2990.0,2069.0,85.29,3.658
1.354133,13.092,427.463,1.05,0.0,,1577.0,87.2,5.5
4.7228124,10.682,870.8542,3.89,0.079,,858.0,87.96,15.7
2.1605156,20.849,467.2101,0.29,0.114,,1654.0,81.02,6.08
1.3484978,15.637,718.2958,1.03,0.0,,2166.0,85.97,4.561
4.2986432,14.123,194.82979,0.38,0.176,,1277.0,86.93,10.03
3.3023881,19.616,206.5895,0.153,0.245,,1918.0,86.2,5.01
4.637038,16.814,168.4499,0.18,0.581,,1659.0,87.3,7.55
3.1810781,13.384,213.58176,0.48,0.202,,1253.0,86.17,9.63
4.6058749,14.022,207.54299,0.411,0.158,,1212.0,87.37,10.96
3.547851,15.48,340.382,0.51,0.0,,1648.0,86.2,7.42
3.1743516,13.171,224.38798,0.543,0.096,,1414.0,86.84,8.82
3.37796,18.383,279.6904,0.243,0.233,,1823.0,85.0,5.49
2.8126548,14.0,292.4036,0.58,0.471,,1437.0,87.1,7.88
2.5495551,13.787,378.85336,0.79,0.08,,1429.0,87.62,7.83
2.1061607,16.029,299.07803,0.4,0.108,,1445.0,82.28,6.96
1.8209993,16.41,388.38826,0.484,0.306,,2037.0,86.9,4.79
4.175186,12.92,1022.14128,2.12,0.105,561.0,1203.0,87.61,10.32
4.3315366,6.793,31.46517,0.55,0.0,229.7,1085.0,89.33,12.05
4.375021,6.882,23.51942,0.403,0.0,464.7,1294.0,87.21,9.81
4.5776348,17.598,200.2329,0.202,0.275,,1645.0,84.98,7.97
2.516729,11.433,420.471,1.55,0.013,,1315.0,88.5,8.43
3.2642736,17.71,505.3497,0.49,0.312,,2101.0,85.8,4.74
4.193649,14.908,3082.951,5.1,0.38,,1710.0,80.4,7.31
2.292102,15.693,597.5204,0.83,0.229,,1856.0,85.1,5.36
4.3888497,13.227,82.95363,0.191,0.173,,1003.0,89.24,13.04
2.7439004,11.96,177.9848,0.56,0.279,,1161.0,84.65,9.24
4.1876244,14.415,222.481,0.41,0.24,,1518.0,85.61,9.02
4.7423729,10.122,54.98459,0.28,0.559,,1054.0,87.32,13.55
3.9228038,12.52,117.27927,0.331,0.088,87.73,853.0,87.08,13.98
3.1316666,8.967,77.23269,0.589,0.162,137.6,955.0,89.58,11.33
4.1480467,8.575,112.19399,0.986,0.071,80.45,835.0,88.27,13.91
4.763387,10.223,75.323,0.39,0.019,,1025.0,89.3,13.38
3.8297015,12.666,123.9537,0.33,0.516,,,87.54,9.72
3.3488702,15.805,244.09344,0.34,0.33,,1553.0,87.1,6.94
1.36665436,15.491,711.9392,1.06,0.246,,1834.0,84.7,5.14
3.8537768,15.02,189.10885,0.303,0.33,,1312.0,88.78,9.3
2.5441828,11.96,241.5508,0.77,0.126,,1625.0,83.08,6.15
4.2042001,14.022,292.72143,0.587,0.092,,1367.0,86.32,10.33
4.324799,18.921,191.33366,0.155,0.019,,1902.0,83.29,5.902
2.350621,12.767,1000.21101,2.65,0.028,,1413.0,87.88,7.82
4.2180896,12.274,327.3649,0.96,0.168,,1721.0,85.69,8.71
5.416081,12.621,256.17098,0.7,0.129,269.0,1128.0,88.1,12.66
1422.0,12.3,4036.441,11.9,0.083,0.16,176.0,,518.0
3.3252725,11.187,101.38777,0.399,0.0,,713.0,88.21,13.65
3.560829,12.924,210.40346,0.537,0.191,903.9,1528.0,86.28,6.93
7.817953,13.395,1080.622,2.47,0.092,374.2,1226.0,87.15,10.23
3.2768837,11.825,56.89157,0.076,0.298,387.4,1237.0,87.92,9.59
3.0566527,13.529,305.1168,0.67,0.136,634.1,1398.0,84.86,8.09
4.908897,18.82,305.1168,0.245,0.151,1711.0,1793.0,87.24,6.68
3.105161,16.825,260.93843,0.3,0.062,1178.0,1634.0,84.82,7.38
3.1414391,15.816,1694.0339,2.34,0.064,2637.0,1998.0,87.06,5.5
1.6091788,18.887,460.8535,0.374,0.057,3821.0,2193.0,79.03,4.526
3.5862202,13.809,410.0007,0.856,0.036,1521.0,1741.0,83.21,6.232
2.2252577,10.593,183.38791,0.46,0.519,466.6,1296.0,88.49,7.859
3.185315,6.311,38.1396,0.83,0.17,,1084.0,87.92,10.59
1.8882378,15.513,4100.007,6.64,0.18,9110.0,2730.0,86.7,4.17
3.7955202,11.478,117.5971,0.42,0.0,18.08,587.0,88.82,16.84
7.3279474,8.097,39.85588,0.411,0.013,49.58,739.0,89.56,19.821
3.583893,9.785,43.86054,0.259,0.376,,1324.0,87.8,9.21
1.915291,13.85,266.02371,0.626,0.075,,1746.0,88.94,4.44
,77.342,239000.0,2.84,,,,,
157.57001,13.5,511.7063,1.14,0.09,,,,
383.70001,13.8,327.3649,0.684,0.36,,,,
5.75969,3.68,13.1,1.44,0.073,,,90.0,
16.357,3.45,11.75,1.57,0.131,,,90.0,
49.748,5.39,25.1,0.881,0.051,,,90.0,
122.744,5.24,23.9,0.913,0.119,,,90.0,
604.67,4.91,21.4,0.993,0.263,,,90.0,
2205.0,9.4,64.4,0.426,0.095,,,90.0,
70.46,10.6,79.4575,0.367,0.11,,,,
20.8133,8.47,54.0311,0.489,0.12,,,,
4.11377,14.2,130.3103,0.25,0.0,,,,
127.58,12.9,1570.0802,4.02,0.05,,,,
778.09998,12.6,2593.4928,7.12,0.21,,,,
