st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
M1.5,3700.0,0.46,0.54,-1.365,4.72,0.44,5.25992,,8.81875
M1.5 V,3350.0,,0.33,-1.863,4.69,2.0,,,9.38033
M2.5,3600.0,0.36,0.35,-1.796,4.86,0.55,10.21003,1.0,8.33063
M0 V,3734.0,0.69,0.73,-1.043,4.62,,3.23229,1.6,8.86517
M0,4006.03,0.65,0.63,-1.043,4.61,,3.23229,1.6,8.86517
M0 V,4006.03,0.65,0.71,-1.043,4.61,,3.23229,1.6,8.86517
M3.5 V,3028.0,0.3,0.27,-2.699,4.93,,14.59297,,9.57025
M0.5,3816.0,0.54,0.55,-1.253,4.72,,4.44737,1.33,9.1671
M3 V,3413.0,0.42,0.4,-1.672,4.82,,8.37834,,8.02754
M3.0V,3413.0,0.42,0.4,-1.672,4.82,,8.37834,,8.02754
M1.0 V,3913.0,0.56,0.58,-1.206,4.68,,4.01176,0.92,8.45636
M1.5,3472.0,0.44,0.45,-1.585,4.7,9.24,7.16403,,7.73761
M1.5V,3472.0,0.44,0.45,-1.585,4.7,9.24,7.16403,,7.73761
M3 V,3241.0,0.53,0.65,-1.583,4.8,3.0,6.51372,1.0,9.2245
K1V,5182.0,0.77,0.93,-0.39,4.63,11.3,2.51158,2.37,5.88516
M4 V,3271.0,0.3,0.32,-1.907,4.87,1.0,10.86557,0.16,8.8753
M2.5V,3271.0,0.3,0.32,-1.907,4.87,1.0,10.86557,0.16,8.8753
M1 V,3688.0,0.47,0.49,-1.434,4.78,2.88,,2.5,6.5219927
M4.5 V,3305.0,0.18,0.15,-2.566,5.1,,36.04136,,10.6711
M2,3785.0,0.58,0.6,-1.052,4.67,,4.11988,,8.63186
K5 V,4340.0,0.6,0.61,-0.942,4.66,10.0,3.97,2.0,9.83773
K5 V,4340.0,0.6,0.61,-0.942,4.66,10.0,3.76,2.0,9.83773
K7e V,4360.0,1.94,0.7,-0.072,3.65,0.001,,6.33,11.2608
M1,4200.0,0.9,0.6,-0.546,4.37,0.005,1.32072,4.24,11.8633
M3,4031.81,0.45,0.33,-1.602,4.78,0.1,6.89528,23.0,12.9656
M1,3879.0,0.56,0.56,-1.222,4.69,,4.44497,,9.26515
M1.5 V,3805.0,0.51,0.52,-1.306,4.69,,4.79974,2.0,8.66282
M1.0 V,3656.0,0.43,0.43,-1.53,4.87,,7.14549,2.49,8.73899
G0 V,5980.0,1.17,1.15,0.225,4.36,3.6,0.908,2.2,10.1786
K4,4780.0,0.68,0.81,-0.567,4.66,6.5,3.70008,1.5,9.15098
K4,4780.0,0.68,0.81,-0.564,4.66,6.5,3.70008,1.5,9.15098
K4,4650.0,0.7,0.73,-0.678,4.61,2.5,2.205,0.5,12.4197
G4,5653.0,1.76,1.32,0.346,4.13,5.0,0.23563,1.66,10.4168
F5 V,6600.0,1.82,2.65,0.644,4.25,1.6,0.62,8.18,9.87283
G5,5568.0,1.07,1.0,0.0,4.38,6.8,1.14,2.0,11.7232
F8,6158.0,1.24,1.22,0.294,4.34,2.0,1.104,3.5,10.7568
K,5246.0,0.87,0.99,-0.289,4.53,7.8,2.08,0.3,10.2743
K,5336.96,0.84,0.92,-0.289,4.55,7.8,2.19868,0.3,10.2743
K2,4803.0,0.75,0.77,-0.569,4.57,12.4,2.94,0.5,12.3682
K1,4990.0,0.82,0.84,-0.432,4.54,8.8,2.32555,0.7,12.5567
F8,6380.0,1.39,1.33,0.53,4.16,1.44,0.434,20.8,8.59842
K3,4595.0,0.69,0.76,-0.721,4.63,6.7,2.36,2.1,10.9903
G3,5588.0,1.21,1.24,0.025,4.33,10.2,1.0,3.5,11.5583
G5 V,5302.0,1.11,1.13,-0.114,4.36,12.4,1.16,0.5,9.51936
G0,5905.0,0.96,0.58,0.199,4.33,4.0,0.92,8.5,12.1741
F8,6373.0,1.38,1.37,0.408,4.27,2.8,0.74,10.0,11.6396
G5,5519.0,0.92,1.01,-0.152,4.52,3.2,1.84,0.5,12.8416
K1,5079.0,0.87,1.12,-0.359,4.56,9.0,2.37,1.8,11.4641
G8,5316.0,0.86,0.92,-0.269,4.53,4.4,1.99758,0.4,11.9562
G3,5680.0,1.1,1.02,0.053,4.36,6.1,1.24374,0.2,12.8718
F8,6087.0,1.3,1.45,0.272,4.34,2.2,0.93,3.9,11.7336
K,5185.0,0.87,1.06,-0.36,4.56,1.6,2.28,1.4,11.2795
F7,6304.0,1.31,1.55,0.312,4.36,1.0,0.98,2.2,10.2998
,6065.0,1.39,1.31,0.433,4.26,3.17,0.69,0.5,11.4501
,6001.0,1.37,1.13,0.338,4.22,2.7,0.625,20.7,11.1335
F4,6446.0,1.79,1.82,0.618,4.15,2.3,0.45,13.7,11.0238
,6442.0,1.53,1.39,0.6,4.21,1.7,0.505,24.0,10.1944
,6096.0,1.44,1.24,0.383,4.21,3.5,0.59,0.5,12.2802
G5 V,5620.0,1.04,1.03,0.022,4.42,6.6,1.089,3.58,12.093
,5500.0,0.88,0.93,-0.208,4.51,3.6,1.87,3.07,13.2615
G5,5330.0,0.92,0.89,-0.208,4.37,10.1,1.20784,0.4,12.3021
,6430.0,1.62,1.4,0.607,4.07,2.0,0.34949,12.7,12.2269
F,5860.0,1.62,0.56,0.431,4.14,3.9,0.437,5.83,11.0634
,6080.0,1.94,1.03,0.778,3.93,2.7,0.2,6.9,11.4162
,6390.0,2.05,2.56,0.628,4.14,2.2,0.42,19.6,10.939
,5743.0,1.53,1.18,0.356,4.14,5.2,0.52838,3.5,12.0031
F9,5645.0,1.1,1.05,0.045,4.37,5.7,1.05193,2.4,13.2165
,5295.0,0.95,0.94,-0.194,4.46,7.5,1.09993,0.2,12.9729
,6330.0,1.32,1.26,0.4,4.3,2.0,0.45731,9.3,12.3977
,6120.0,1.4,1.28,0.391,4.25,2.5,0.9153,4.9,11.6843
F,6820.0,2.06,2.22,0.814,4.1,1.5,0.36,16.0,10.2071
G,5960.0,1.12,1.04,0.187,4.37,2.6,1.04,2.6,11.8224
