discoverymethod,disc_locale,disc_facility,disc_telescope
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,multiple telescopes
Transit,Ground,HATNet,multiple telescopes
Transit,Ground,HATNet,multiple telescopes
Transit,Ground,HATNet,multiple telescopes
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Multiple Telescopes
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,Multiple Observatories,Multiple Telescopes
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,Multiple Telescopes
Transit,Ground,HATSouth,Multiple Telescopes
Transit,Ground,HATSouth,Multiple Telescopes
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Radial Velocity,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph
Imaging,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope
Radial Velocity,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,Kitt Peak National Observatory,0.9 m KPNO Coude Feed Telescope
Radial Velocity,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope
Radial Velocity,Ground,Las Campanas Observatory,6.5 m Magellan II Clay Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,Las Campanas Observatory,6.5 m Magellan II Clay Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,Okayama Astrophysical Observatory,1.88 m Telescope
Radial Velocity,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope
Imaging,Ground,Las Campanas Observatory,6.5 m Magellan II Clay Telescope
