system_name,sy_snum,sy_pnum,sy_mnum
K2-184,1,1,0
K2-185,1,1,0
K2-186,1,1,0
K2-187,1,4,0
K2-188,1,2,0
K2-189,1,2,0
K2-19,1,3,0
K2-190,1,2,0
K2-191,1,1,0
K2-192,1,1,0
K2-193,1,1,0
K2-194,1,1,0
K2-195,1,2,0
K2-196,1,1,0
K2-197,1,1,0
K2-198,1,3,0
K2-199,1,2,0
K2-200,1,1,0
K2-201,1,2,0
K2-202,1,1,0
K2-203,1,1,0
K2-204,1,1,0
K2-205,1,1,0
K2-206,1,1,0
K2-207,1,1,0
K2-208,1,1,0
K2-209,1,1,0
K2-21,1,2,0
K2-210,1,1,0
K2-211,1,1,0
K2-212,1,1,0
K2-213,1,1,0
K2-214,1,1,0
K2-215,1,1,0
K2-216,1,1,0
K2-217,1,1,0
K2-218,1,1,0
K2-219,1,3,0
K2-22,2,1,0
K2-220,1,1,0
K2-221,1,1,0
K2-222,1,1,0
K2-223,1,2,0
K2-224,1,2,0
K2-225,1,1,0
K2-226,1,1,0
K2-227,1,1,0
K2-228,1,1,0
K2-229,1,2,0
K2-230,1,1,0
K2-231,1,1,0
K2-232,1,1,0
K2-233,1,3,0
K2-237,1,1,0
K2-238,1,1,0
K2-239,1,3,0
K2-24,1,2,0
K2-240,1,2,0
K2-241,1,1,0
K2-242,1,1,0
K2-243,1,2,0
K2-244,1,1,0
K2-245,1,1,0
K2-246,1,1,0
K2-247,1,2,0
K2-248,1,1,0
K2-249,1,1,0
K2-25,1,1,0
K2-250,1,1,0
K2-251,1,1,0
K2-252,1,1,0
K2-253,1,1,0
K2-254,1,2,0
K2-255,1,1,0
K2-256,1,1,0
K2-257,1,1,0
K2-258,1,1,0
K2-259,1,1,0
K2-26,1,1,0
K2-260,1,1,0
K2-261,1,1,0
K2-263,1,1,0
K2-264,1,2,0
K2-265,2,1,0
K2-266,2,4,0
K2-268,1,2,0
K2-269,1,1,0
K2-27,3,1,0
K2-270,1,2,0
K2-271,1,1,0
K2-272,1,1,0
K2-273,1,1,0
K2-274,1,1,0
K2-275,1,2,0
K2-276,1,1,0
K2-277,1,1,0
K2-278,1,1,0
K2-279,1,1,0
K2-28,1,1,0
K2-280,1,1,0
K2-281,1,1,0
K2-283,1,1,0
K2-284,1,1,0
K2-285,1,4,0
K2-286,1,1,0
K2-287,1,1,0
K2-288 B,2,1,0
K2-289,1,1,0
K2-29,2,1,0
K2-290,3,2,0
K2-291,1,1,0
K2-292,1,1,0
K2-293,1,1,0
K2-294,1,1,0
K2-295,1,1,0
K2-3,1,3,0
K2-30,1,1,0
K2-308,1,1,0
K2-31,2,1,0
K2-315,1,1,0
K2-316,1,2,0
K2-317,1,1,0
K2-318,1,1,0
K2-319,1,1,0
K2-32,2,4,0
K2-320,1,1,0
K2-321,1,1,0
K2-322,1,1,0
K2-323,1,1,0
K2-324,1,1,0
K2-325,1,1,0
K2-326,1,1,0
K2-329,1,1,0
K2-33,1,1,0
K2-34,1,1,0
K2-35,1,2,0
K2-36,1,2,0
K2-37,1,3,0
K2-38,1,2,0
K2-39,1,1,0
K2-4,1,1,0
K2-42,1,1,0
K2-43,1,2,0
K2-44,1,1,0
K2-45,1,1,0
K2-46,1,1,0
K2-47,1,1,0
K2-48,1,1,0
K2-49,1,1,0
K2-5,1,2,0
K2-52,1,1,0
K2-53,1,1,0
K2-54,1,1,0
K2-55,1,1,0
K2-57,1,1,0
K2-58,1,3,0
K2-59,1,2,0
K2-6,1,1,0
K2-60,1,1,0
K2-61,1,1,0
K2-62,1,2,0
K2-63,1,2,0
K2-64,1,1,0
K2-65,1,1,0
K2-66,1,1,0
K2-68,1,1,0
K2-69,1,1,0
K2-7,1,1,0
K2-70,1,1,0
K2-71,1,1,0
K2-72,1,4,0
K2-73,1,1,0
K2-74,1,1,0
K2-75,1,2,0
K2-77,1,1,0
K2-79,1,1,0
K2-8,1,2,0
K2-80,1,3,0
K2-81,1,1,0
K2-83,1,2,0
K2-84,1,2,0
K2-85,1,1,0
K2-86,1,1,0
K2-87,1,1,0
K2-88,1,1,0
K2-89,1,1,0
K2-9,1,1,0
K2-90,1,2,0
K2-91,1,1,0
K2-95,1,1,0
K2-97,1,1,0
K2-98,1,1,0
K2-99,1,1,0
KELT-1,1,1,0
KELT-10,1,1,0
KELT-11,1,1,0
KELT-12,1,1,0
KELT-14,1,1,0
KELT-15,2,1,0
KELT-16,2,1,0
KELT-17,1,1,0
KELT-18,2,1,0
KELT-19 A,2,1,0
KELT-2 A,2,1,0
KELT-20,1,1,0
KELT-21,1,1,0
KELT-23 A,2,1,0
KELT-24,1,1,0
KELT-3,2,1,0
KELT-4 A,3,1,0
KELT-6,1,2,0
KELT-7,1,1,0
KELT-8,1,1,0
KELT-9,2,1,0
KIC 10001893,1,3,0
KIC 10525077,1,1,0
KIC 3558849,1,1,0
KIC 5095269,2,1,0
KIC 5437945,1,2,0
KIC 5951458,2,1,0
KIC 7917485,1,1,0
KOI-7892,1,2,0
KIC 9663113,1,2,0
KMT-2016-BLG-0212L,1,1,0
KMT-2016-BLG-1107L,1,1,0
KMT-2016-BLG-1397L,1,1,0
KMT-2016-BLG-1820L,1,1,0
KMT-2016-BLG-1836L,1,1,0
KMT-2016-BLG-2142L,1,1,0
KMT-2016-BLG-2364L,1,1,0
KMT-2016-BLG-2397L,1,1,0
KMT-2017-BLG-0165L,1,1,0
KMT-2017-BLG-1038L,1,1,0
KMT-2017-BLG-1146L,1,1,0
KMT-2018-BLG-0029L,1,1,0
KMT-2018-BLG-0748L,1,1,0
KMT-2018-BLG-1292L,1,1,0
KMT-2018-BLG-1990L,1,1,0
KMT-2019-BLG-0842L,1,1,0
KMT-2019-BLG-1339L,1,1,0
